t,sig,held,ret,ex_spy
GAB,2026-04-23,42,284.0830911713455,-27.59151346170219
USA,2025-10-20,18,-232.01206002868346,-241.5453924513744
EOS,2025-11-20,25,695.9275266662246,240.56015026100442
ETG,2023-10-25,5,655.1970383530592,213.79421143764344
ETY,2023-10-25,3,266.54539997183815,129.5899765347741
EVT,2023-10-20,9,419.83486883391265,81.3955453777293
BDJ,2023-10-25,21,1188.8301551965453,172.46704455053498
BME,2023-10-25,6,501.05095988356,-35.613528442424155
