ticker,sig,n_ins,ceo_cfo,value,adv,ex_spy,ex_iwm
USB,2023-05-01,2,False,1341288.3,586929591.8157005,-1130.810912010406,-1080.744181773029
ENPH,2023-05-02,2,True,10608313.5,940011946.3771057,1445.4185669718345,1590.9845724253314
FBK,2023-05-02,2,False,1200405.3,4834339.709157944,-445.9395578936768,-300.37355244017994
FFIN,2023-05-02,3,True,266015.0,15459809.12656784,-1088.4303697702887,-942.8643643167919
GBCI,2023-05-02,4,True,314020.11,23270957.482004166,-584.1320684916193,-438.5660630381225
SFNC,2023-05-02,4,True,492850.0,9928168.427371979,194.92058128692634,340.48658674042315
BMRC,2023-05-03,4,False,287247.56,2036621.2406635284,2011.774004516771,1892.3841751189484
BOH,2023-05-03,2,False,301585.0,32435094.07251358,-667.5841211146533,-786.9739505124757
ZION,2023-05-03,3,True,2046915.0,168243462.4709797,2728.411534014206,2609.021704616384
ADT,2023-05-04,5,True,667440.0,19419294.68540907,452.3084313695318,508.9184661195316
EWBC,2023-05-04,4,True,892701.2,88035258.34777832,965.6849835654815,1022.2950183154813
FHN,2023-05-04,2,False,351274.48,99763638.37434769,-307.13530490998204,-250.52527015998223
KEY,2023-05-04,2,False,756952.0,314089264.6297598,-261.04642912425345,-204.43639437425364
ONB,2023-05-04,3,True,268054.0,28116032.286286354,-438.1498872161704,-381.53985246617054
HTLD,2023-05-05,2,True,1568111.57,2748355.4108047485,3.591682467414467,-215.44242427943485
KDP,2023-05-05,4,True,1294911.9,305485632.89333344,-1041.4531912778118,-1260.4872980246612
ALB,2023-05-08,2,True,1243456.8,539042513.7877655,1244.6776477062265,834.725426086364
LDOS,2023-05-08,3,False,499895.0,85896409.9276352,-212.34908022806167,-622.3013018479243
WSBC,2023-05-08,2,False,585280.0,7517996.43699646,1822.1561975442362,1412.2039759243737
HURN,2023-05-09,2,True,257897.24,13227986.476287842,178.32560608413394,-122.8293819786034
LKFN,2023-05-09,2,False,507995.0,8780461.389923096,1364.4006311400065,1063.245643077269
MLKN,2023-05-09,2,False,1099918.0,11532313.138389587,-2004.5139745636814,-2305.6689626264188
ABCB,2023-05-10,2,True,321570.0,15774184.12776947,1724.9205754158743,1465.0455918519617
RNST,2023-05-10,2,False,322345.22,6154359.18920517,1758.7890805555335,1498.914096991621
TSN,2023-05-10,2,False,598976.76,222687353.7872696,73.51776901609618,-186.3572145478163
BBDC,2023-05-11,5,False,254834.88,3551673.839762211,-39.104831608442744,-256.7855139980721
CFR,2023-05-11,2,False,621625.0,79391332.10857391,633.0030092564139,415.3223268667845
CODI,2023-05-11,2,False,679255.24,2888974.256954193,-88.63656896144518,-306.3172513510745
PACK,2023-05-11,2,True,346902.2,2453045.192902088,3037.7452787379693,2820.0645963483403
TFIN,2023-05-11,2,False,861836.76,12056265.982074738,1714.5204869924435,1496.8398046028142
WAFD,2023-05-12,3,False,585505.88,23063703.09223175,978.0026707950576,801.3290818108624
ADC,2023-05-15,2,True,1542260.75,38627584.14096832,-888.1272055870279,-1022.852601897177
BW,2023-05-16,2,True,610383.2,2221074.1290020943,246.0040957665488,262.4127018405298
RBA,2023-05-16,5,False,382612.1,74075723.83768082,206.34520786680417,222.75381394078516
RYAM,2023-05-16,5,True,451670.0,3085036.046230793,-1025.0275456595914,-1008.6189395856104
AXON,2023-05-17,2,True,2050229.06,398833636.9874573,-480.4696217583556,-491.7389423661097
PNNT,2023-05-17,3,True,351473.2,2064626.5312433243,-87.71553380679309,-98.98485441454719
AVD,2023-05-18,2,False,1027563.25,2491578.408780098,-578.4013366228118,-647.2199969801111
DCOM,2023-05-18,4,False,525270.22,3892039.5545339584,-433.40830084300586,-502.2269612003052
EGBN,2023-05-18,6,True,350406.32,12150252.188940048,960.0434553709555,891.2247950136561
G,2023-05-18,2,False,276810.0,68717320.84236145,-449.8715145397017,-518.690174897001
OUST,2023-05-18,3,True,768091.0,3832304.7978117466,-1086.4746128729905,-1155.29327323029
EYE,2023-05-19,2,True,350580.41,29989763.918190002,-346.0128860918758,-321.6484377346189
PRAA,2023-05-19,3,True,1122915.0,15784408.475437164,2498.705750202871,2523.0701985601277
ACDC,2023-05-22,2,False,6357758.75,9577281.263952255,-1142.808204976475,-934.4877734329367
DNA,2023-05-22,2,False,960000.0,22357242.177466583,410.418856843099,618.7392883866373
TNDM,2023-05-22,3,True,483981.55,47569488.7394619,-1758.016275726007,-1549.6958441824688
CE,2023-05-23,2,False,317083.52,145954427.05368042,-531.5492831645015,-280.0128998906322
ABCL,2023-05-26,2,True,1096885.0,18601923.465418816,-933.7335786016755,-1047.0909914391248
DRVN,2023-05-30,2,True,1094840.0,19683976.519412994,55.72172151131566,-185.08767548770427
GCO,2023-05-30,3,True,318663.18,6443020.25226593,2631.1036539291495,2390.2942569301294
ET,2023-05-31,2,False,9702333.8,134355749.07985687,-356.68053517756607,-509.47639404533965
NFE,2023-05-31,2,False,294405.36,40514548.651361465,-610.7365710916799,-763.5324299594536
HBAN,2023-06-01,2,False,252130.8,162112111.8013382,-244.06629412702947,-182.50879931720206
FSCO,2023-06-02,4,True,1452035.0,4801236.046321392,334.45491860124105,364.52696892867317
ZD,2023-06-02,3,True,765310.0,30302678.24321747,598.5668916772469,628.6389420046789
GPC,2023-06-05,2,False,378220.0,136966718.76586914,572.6329585094704,927.3552513100682
IART,2023-06-05,2,True,400021.6,41343708.17302704,-304.00044251163683,50.721850288960944
HEI,2023-06-06,9,True,295824.4,86586136.1114502,596.1316481432855,1012.5792130717592
ZUMZ,2023-06-06,2,True,1163500.1,7568627.063193321,777.5492833644219,1193.9968482928955
AKR,2023-06-07,2,False,491725.0,9256758.145446777,-203.5373431199924,-29.45566830539784
DG,2023-06-07,2,True,255901.2,677469437.4195099,493.25528125726925,667.3369560718638
FCPT,2023-06-07,2,True,448101.25,10711774.553079605,-794.9197127670586,-620.838037952464
AAP,2023-06-09,4,False,733656.35,271838246.0364914,608.6606280642362,563.662359572498
GME,2023-06-12,2,False,335900.0,123853266.04646683,-1378.0778627557172,-1374.7839994927808
CMTL,2023-06-23,4,False,922615.35,7036860.774049759,-156.75219897956103,-384.43118587350983
VERA,2023-06-23,2,True,6882451.89,12601137.987191677,-1528.9726441777102,-1756.651631071659
MPAA,2023-06-27,3,False,1050000.0,3051137.849392891,1353.2536338138132,1197.929692087809
ACET,2023-06-29,2,False,3657500.0,4149869.5475402833,519.2298595165611,235.67989297488919
OKE,2023-06-29,2,True,1792033.72,200567299.99269485,363.4714612901628,79.92149474849094
SPG,2023-07-05,10,False,306197.76,185204126.58927917,-187.49420369973507,-623.1872467173704
BDTX,2023-07-06,2,False,10000000.0,71718314.35272455,-2720.4129796861466,-3044.218493296158
CDZI,2023-07-17,4,True,1248000.0,4141141.1768329144,-285.8344751308845,-135.0777197496029
SVRA,2023-07-19,10,False,9999990.0,2787975.100374222,183.5138803604769,418.019367210663
MLKN,2023-07-20,4,False,419836.8,15687661.092133522,770.829815531314,928.5399786152578
HPK,2023-07-21,8,True,92967525.0,8138305.031399727,318.72616806731133,533.262187321014
RILY,2023-07-26,3,True,4549985.0,12330288.18447113,-2198.1694421689253,-1991.1541350284106
ILPT,2023-07-31,2,False,262100.0,5530309.248760939,-490.48636057301366,-167.0216302786809
ADC,2023-08-03,3,True,3258225.45,60114761.47916794,-697.642847603102,-428.63071103342685
BUSE,2023-08-03,2,False,497609.2,4813592.261343002,-637.1803120832542,-368.168175513579
CROX,2023-08-03,2,False,1408688.99,257844407.57026672,-638.3187369072915,-369.3066003376164
FBK,2023-08-03,2,False,765924.26,6364942.602930069,-1361.019651960899,-1092.0075153912237
BY,2023-08-07,2,False,865200.0,2104901.6022109985,-628.549833201856,-324.9743745162806
NDAQ,2023-08-07,2,True,534700.0,186489919.3038559,399.75918732343166,703.334646009007
ZBRA,2023-08-07,3,True,1508453.0,156080080.5230713,960.4241044790447,1263.99956316462
VAC,2023-08-08,2,True,768590.0,65854016.275177,-1017.6664079566591,-659.9269501063156
CVBF,2023-08-09,2,False,3244137.5,27292758.79483223,-1100.0760297325394,-752.2787358147363
LESL,2023-08-09,2,True,519500.0,53826830.08288002,-2144.6119999365756,-1796.8147060187725
