ticker,sig,n_ins,ceo_cfo,value,adv,ex_spy,ex_iwm
SPG,2023-01-03,11,False,392568.24,192188893.6126709,-1283.1000974320145,-777.0025048503765
CODI,2023-01-05,8,False,843690.39,4770217.624120712,-877.0075106744413,-220.86912842434464
NFE,2023-01-06,2,False,551432.3,80186964.96900558,-3228.072298452975,-2480.200105598172
HEI,2023-01-11,10,True,1828818.05,53285597.55584717,-115.29932056334174,673.7757320811061
PLAY,2023-01-13,3,False,327708.35,51088902.34357834,-2304.6013912581407,-1446.8876211012857
TRST,2023-01-30,8,True,286366.23,3131384.320869446,-1677.166024846626,-601.6783896521185
TFIN,2023-01-31,7,False,3781520.53,8322586.801166534,-1145.4134007467328,-28.70980808516735
OBIO,2023-02-01,2,True,18148548.8,2203467.6768779755,7922.70694824244,9052.985975164935
INTC,2023-02-02,2,True,501859.5,1263045192.9882812,47.091369755037675,1294.2936684822835
JBSS,2023-02-03,2,False,699041.76,5015062.486305237,1976.0359094892149,3055.2872832338403
NEE,2023-02-06,3,True,574472.64,826620849.3323517,220.6721119770695,1265.8265640042698
VERA,2023-02-08,3,False,25999988.0,7239804.375598431,-507.52826196835287,467.35853306419284
ALGN,2023-02-09,2,True,1200572.08,388845861.530838,-689.3992803310464,263.14596610166467
CNC,2023-02-09,2,False,997935.0,310328261.6844177,-834.3042517181999,118.24099471451119
GLO,2023-02-09,3,False,312102.0,2066538.4428858757,-670.0388109434355,282.50643548927565
ONEW,2023-02-09,3,True,333683.64,3731192.723712921,-558.325010378059,394.2202360546521
RILY,2023-02-09,4,True,6753753.64,16191033.464660645,-233.5635351001551,718.981711332556
ASPS,2023-02-14,5,True,2574340.0,2152760.2841413496,-2465.892846206101,-1405.6575067899807
CLFD,2023-02-14,2,False,379900.0,42250404.22193527,-4253.484467814873,-3193.2491283987524
FIS,2023-02-17,7,False,1054810.87,419687435.27194977,-2337.706863699559,-1329.8612652221411
MKL,2023-02-17,2,False,732046.2,50441412.16369629,-285.86174781348876,721.9838506639295
NSIT,2023-02-17,2,False,11032490.72,30291757.199935913,-638.4266843223448,369.41891415507325
DVN,2023-02-21,2,True,782462.72,667420847.5037956,-1567.1055614579166,-475.9695789757322
BARK,2023-02-22,3,True,267021.0,2433766.907866478,-2498.7986369605674,-1354.7439861652556
HLF,2023-02-24,2,False,455380.0,33296086.697540283,-3914.667084822811,-2932.0412197642004
RILY,2023-02-27,2,True,736300.0,23937266.115837097,-1130.0104979406296,-84.06431092814331
TWLO,2023-02-27,2,True,10250678.66,384608410.0606537,-1178.7178345334114,-132.7716475209251
WSC,2023-03-01,2,True,401767.5,87253147.99598694,-1962.507558849628,-730.721846218784
KDP,2023-03-03,2,True,831990.0,279258828.50442886,-1358.0921369323917,-236.08615146156654
IHRT,2023-03-06,3,True,1053544.62,5624962.867786884,-6293.501515118845,-5119.919175777754
BSM,2023-03-07,2,True,1010262.5,13163349.386606216,-325.8365340211676,646.5711328817971
SLRC,2023-03-07,2,False,4759706.46,3547931.488723755,-1812.505585108499,-840.0979182055343
FCNCA,2023-03-08,2,True,252005.2,60749138.55804443,7512.8952145382955,8521.42345049341
TTI,2023-03-08,4,True,256240.0,4658338.718869686,-3041.228009647674,-2032.699773692559
QCRH,2023-03-10,3,False,538078.0,3011136.173095703,-1136.4518288555266,-871.343572519971
CFR,2023-03-13,2,True,1553055.0,55044194.50073242,-1344.6352821954313,-957.5366555047929
ELAN,2023-03-13,2,True,255300.0,80716502.21483707,-1344.1994156602202,-957.1007889695818
FPI,2023-03-13,2,True,313060.0,6669389.746131897,979.6883772215575,1366.787003912196
GBCI,2023-03-13,3,True,398898.44,22638564.69062805,-2739.626202679997,-2352.527575989358
MCB,2023-03-13,5,True,647115.78,5647647.482070923,68.13701893475563,455.23564562539406
SLVM,2023-03-13,2,False,742341.12,23952882.443084717,-2025.942264506796,-1638.8436378161575
UMBF,2023-03-13,2,False,275347.0,16376502.451095581,-1778.2408242349402,-1391.1421975443018
